date,lot_id,supplier_id,qty_received,samples_inspected,defects_found,critical,major,minor,accept_reject,ppm_incoming,ctq_measure_mean,ctq_measure_std
2024-01-01,L41902683,S6577,200,8,0,0,0,0,ACCEPT,0.0,5.0655,0.0186
2024-01-01,L10679883,S4428,769,8,0,0,0,0,ACCEPT,0.0,4.9632,0.0109
2024-01-01,L48136760,S4428,500,10,0,0,0,0,ACCEPT,0.0,5.0152,0.0562
2024-01-01,L65242962,S4428,200,8,0,0,0,0,ACCEPT,0.0,5.0525,0.0291
2024-01-01,L37088409,S4428,1596,16,0,0,0,0,ACCEPT,0.0,4.9624,0.0375
2024-01-01,L57248611,S3320,1476,10,0,0,0,0,ACCEPT,0.0,5.0734,0.0475
2024-01-01,L75745391,S4428,3761,20,0,0,0,0,ACCEPT,0.0,5.0373,0.0494
2024-01-01,L47811653,S3320,391,8,0,0,0,0,ACCEPT,0.0,4.8752,0.0456
2024-01-01,L54259618,S2713,242,8,0,0,0,0,ACCEPT,0.0,4.9601,0.0418
2024-01-01,L77321077,S5002,799,12,2,1,0,1,REJECT,2503.13,5.0838,0.0231
2024-01-01,L97516851,S3320,1099,8,0,0,0,0,ACCEPT,0.0,5.0118,0.0504
2024-01-01,L31999541,S1175,3015,16,0,0,0,0,ACCEPT,0.0,4.9365,0.0219
2024-01-01,L39822507,S2713,4918,25,0,0,0,0,ACCEPT,0.0,5.0347,0.0484
2024-01-01,L89516915,S6577,4042,25,0,0,0,0,ACCEPT,0.0,4.9914,0.0527
2024-01-01,L69976736,S2713,1582,12,0,0,0,0,ACCEPT,0.0,4.9977,0.0015
2024-01-01,L38420055,S2713,2669,20,0,0,0,0,ACCEPT,0.0,5.016,0.0228
2024-01-01,L07000352,S2713,632,10,0,0,0,0,ACCEPT,0.0,4.9742,0.0243
2024-01-01,L45785244,S2713,1420,12,0,0,0,0,ACCEPT,0.0,4.9622,0.0249
2024-01-01,L06348066,S6577,365,8,0,0,0,0,ACCEPT,0.0,5.0706,0.0297
2024-01-01,L07811511,S1175,1278,14,0,0,0,0,ACCEPT,0.0,5.0046,0.0224
2024-01-01,L48088065,S4428,1311,10,0,0,0,0,ACCEPT,0.0,4.9538,0.039
2024-01-01,L00724489,S1175,5000,25,1,0,0,1,REJECT,200.0,5.0398,0.025
2024-01-01,L10397267,S7142,954,12,0,0,0,0,ACCEPT,0.0,5.0255,0.037
2024-01-01,L76412070,S6577,1313,14,0,0,0,0,ACCEPT,0.0,4.9808,0.0295
2024-01-01,L30495058,S3320,1521,12,0,0,0,0,ACCEPT,0.0,4.9798,0.0325
2024-01-01,L00849550,S7142,761,14,0,0,0,0,ACCEPT,0.0,4.9963,0.0261
2024-01-01,L06532632,S2713,538,8,0,0,0,0,ACCEPT,0.0,4.9974,0.0306
2024-01-01,L16499065,S1175,4398,30,0,0,0,0,ACCEPT,0.0,4.968,0.0369
2024-01-01,L05513022,S2713,450,12,0,0,0,0,ACCEPT,0.0,5.0026,0.0285
2024-01-01,L45398565,S3320,318,8,0,0,0,0,ACCEPT,0.0,5.0523,0.0268
2024-01-01,L91828712,S4428,2369,16,0,0,0,0,ACCEPT,0.0,5.0043,0.0317
2024-01-01,L23685290,S7142,3820,30,1,0,0,1,REJECT,261.78,4.9973,0.0272
2024-01-01,L68031914,S2713,764,12,0,0,0,0,ACCEPT,0.0,5.0397,0.0485
2024-01-01,L75196103,S1175,776,12,0,0,0,0,ACCEPT,0.0,4.9176,0.0384
2024-01-01,L54039903,S4428,1592,16,0,0,0,0,ACCEPT,0.0,5.0616,0.0452
2024-01-01,L66358979,S4428,591,8,0,0,0,0,ACCEPT,0.0,5.0442,0.0439
2024-01-01,L21714197,S1175,549,12,0,0,0,0,ACCEPT,0.0,4.9808,0.0294
2024-01-01,L46721730,S6577,2892,20,0,0,0,0,ACCEPT,0.0,4.991,0.022
2024-01-01,L41938826,S1175,2202,16,0,0,0,0,ACCEPT,0.0,5.0092,0.0423
2024-01-01,L32073568,S1175,4453,25,1,0,0,1,REJECT,224.57,4.9465,0.0329
2024-01-01,L30825905,S1175,343,8,0,0,0,0,ACCEPT,0.0,4.988,0.0263
2024-01-01,L37491810,S3320,726,8,0,0,0,0,ACCEPT,0.0,5.0814,0.0402
2024-01-01,L45869714,S4428,1590,16,0,0,0,0,ACCEPT,0.0,4.912,0.0349
2024-01-01,L99661956,S3320,476,8,0,0,0,0,ACCEPT,0.0,5.0246,0.0259
2024-01-01,L36516371,S4428,2280,16,0,0,0,0,ACCEPT,0.0,4.9815,0.0452
2024-01-01,L54832763,S6577,4083,25,0,0,0,0,ACCEPT,0.0,4.9954,0.0507
2024-01-01,L46579762,S4428,670,10,0,0,0,0,ACCEPT,0.0,5.0061,0.0503
2024-01-01,L66092381,S4428,1247,12,0,0,0,0,ACCEPT,0.0,4.9819,0.0423
2024-01-01,L09674857,S1175,5000,25,0,0,0,0,ACCEPT,0.0,5.035,0.0128
2024-01-01,L33168887,S7142,5000,35,0,0,0,0,ACCEPT,0.0,5.0463,0.0202
2024-01-01,L28645911,S5002,2530,25,0,0,0,0,ACCEPT,0.0,5.03,0.0393
2024-01-01,L45537488,S7142,2172,25,0,0,0,0,ACCEPT,0.0,4.9233,0.0087
2024-01-01,L49418478,S7142,511,12,1,0,0,1,REJECT,1956.95,5.0495,0.0333
2024-01-01,L27424723,S1175,1719,16,0,0,0,0,ACCEPT,0.0,5.0088,0.0398
2024-01-01,L80131243,S1175,2094,20,0,0,0,0,ACCEPT,0.0,4.9763,0.0401
2024-01-01,L40837908,S2713,972,12,0,0,0,0,ACCEPT,0.0,4.9152,0.0358
2024-01-01,L54923885,S4428,662,8,0,0,0,0,ACCEPT,0.0,5.0351,0.0411
2024-01-01,L77842436,S1175,333,8,0,0,0,0,ACCEPT,0.0,5.033,0.0282
2024-01-01,L77899595,S3320,211,8,0,0,0,0,ACCEPT,0.0,4.979,0.0272
2024-01-01,L60481234,S1175,200,8,0,0,0,0,ACCEPT,0.0,5.0119,0.0437
2024-01-01,L38294847,S7142,2142,25,0,0,0,0,ACCEPT,0.0,5.1209,0.0537
2024-01-01,L09209002,S3320,1391,10,0,0,0,0,ACCEPT,0.0,5.0947,0.0226
2024-01-01,L86241942,S5002,740,16,0,0,0,0,ACCEPT,0.0,5.0787,0.0244
2024-01-01,L36977135,S1175,861,12,0,0,0,0,ACCEPT,0.0,5.0191,0.0377
2024-01-01,L95939158,S1175,1481,18,0,0,0,0,ACCEPT,0.0,5.0275,0.0347
2024-01-01,L26368750,S6577,1018,12,0,0,0,0,ACCEPT,0.0,4.9901,0.0112
2024-01-01,L56060444,S1175,314,8,0,0,0,0,ACCEPT,0.0,4.9442,0.0335
2024-01-01,L38411566,S7142,2990,25,0,0,0,0,ACCEPT,0.0,5.0488,0.0291
2024-01-01,L97485329,S1175,1627,16,0,0,0,0,ACCEPT,0.0,5.1229,0.0267
2024-01-01,L24756343,S4428,1566,16,0,0,0,0,ACCEPT,0.0,5.0047,0.0101
2024-01-01,L43225855,S3320,2773,16,1,0,0,1,REJECT,360.62,5.0484,0.0195
2024-01-01,L12452474,S2713,532,8,0,0,0,0,ACCEPT,0.0,5.0347,0.0544
2024-01-01,L02426353,S7142,4039,35,1,0,0,1,REJECT,247.59,4.9756,0.0377
2024-01-01,L95343273,S6577,1043,12,0,0,0,0,ACCEPT,0.0,4.9625,0.0095
2024-01-01,L79617257,S7142,2918,25,0,0,0,0,ACCEPT,0.0,4.9862,0.0421
2024-01-01,L59823371,S4428,2501,20,0,0,0,0,ACCEPT,0.0,5.0529,0.0152
2024-01-01,L00296710,S4428,425,8,0,0,0,0,ACCEPT,0.0,5.0342,0.0367
2024-01-01,L24392810,S1175,1984,16,0,0,0,0,ACCEPT,0.0,4.9236,0.0283
2024-01-01,L45618902,S2713,1663,20,0,0,0,0,ACCEPT,0.0,4.9781,0.0125
2024-01-01,L54567392,S4428,1237,16,0,0,0,0,ACCEPT,0.0,5.0212,0.0461
2024-01-01,L54509076,S1175,1092,16,0,0,0,0,ACCEPT,0.0,4.9665,0.0328
2024-01-01,L20251464,S6577,1101,16,0,0,0,0,ACCEPT,0.0,4.9181,0.0277
2024-01-01,L02280227,S4428,2705,16,0,0,0,0,ACCEPT,0.0,5.0527,0.0242
2024-01-01,L58112121,S2713,2139,20,0,0,0,0,ACCEPT,0.0,4.9566,0.0308
2024-01-01,L07589443,S2713,1237,12,0,0,0,0,ACCEPT,0.0,4.9927,0.0342
2024-01-01,L42545876,S2713,270,8,0,0,0,0,ACCEPT,0.0,4.9267,0.0513
2024-01-01,L02685078,S1175,1968,20,0,0,0,0,ACCEPT,0.0,4.9792,0.0361
2024-01-01,L57154294,S4428,2474,18,0,0,0,0,ACCEPT,0.0,4.9506,0.0317
2024-01-01,L89443114,S4428,5000,25,0,0,0,0,ACCEPT,0.0,4.984,0.0349
2024-01-01,L46470021,S1175,3518,25,0,0,0,0,ACCEPT,0.0,4.9307,0.0357
2024-01-01,L78808405,S5002,200,8,0,0,0,0,ACCEPT,0.0,4.9082,0.0549
2024-01-01,L64402128,S2713,1298,14,0,0,0,0,ACCEPT,0.0,4.9521,0.0255
2024-01-01,L40677304,S1175,5000,25,0,0,0,0,ACCEPT,0.0,4.9611,0.0475
2024-01-01,L28196192,S4428,2239,14,0,0,0,0,ACCEPT,0.0,4.9908,0.064
2024-01-01,L74444115,S5002,1667,20,0,0,0,0,ACCEPT,0.0,5.0405,0.0306
2024-01-01,L71078372,S1175,2952,18,0,0,0,0,ACCEPT,0.0,4.9314,0.0389
2024-01-01,L07856844,S5002,644,12,0,0,0,0,ACCEPT,0.0,5.0796,0.0317
2024-01-01,L37398923,S3320,1936,14,0,0,0,0,ACCEPT,0.0,4.9944,0.0219
2024-01-01,L84349397,S2713,934,12,0,0,0,0,ACCEPT,0.0,5.0176,0.0186
2024-01-01,L61919318,S3320,1177,8,0,0,0,0,ACCEPT,0.0,5.0108,0.007
