date,line_id,build_id,units_built,first_pass_yield,rework_units,scrap_units,oqa_defects,oqa_pass_rate,field_return_rate_est,shift
2024-01-02,CORK-L3,B476425,2769,0.9668,68,24,31,0.9636,0.00063,A
2024-01-02,CORK-L1,B476425,3094,0.9651,73,35,41,0.9696,0.00273,B
2024-01-03,CORK-L3,B476425,1214,0.9625,28,18,9,0.9686,0.00014,B
2024-01-03,CORK-L1,B476425,1370,0.9723,22,16,13,0.9796,0.00223,A
2024-01-04,CORK-L3,B476425,2998,0.9685,61,34,39,0.9604,0.00148,A
2024-01-04,CORK-L1,B476425,1999,0.9718,39,17,16,0.9809,0.00138,A
2024-01-05,CORK-L3,B476425,2723,0.9643,65,32,16,0.9838,0.00102,B
2024-01-05,CORK-L1,B476425,2219,0.9742,36,21,20,0.9645,0.00033,A
2024-01-06,CORK-L3,B476425,805,0.9697,16,8,6,0.969,0.00264,A
2024-01-06,CORK-L1,B476425,1088,0.9705,22,10,11,0.9649,0.00033,B
2024-01-07,CORK-L3,B476425,844,0.9705,16,9,6,0.9765,0.00135,A
2024-01-07,CORK-L1,B476425,901,0.9713,17,9,10,0.9626,0.00182,B
2024-01-08,CORK-L3,B476425,541,0.9678,12,5,6,0.9694,0.00175,B
2024-01-08,CORK-L1,B476425,705,0.975,12,6,7,0.9862,0.00201,A
2024-01-09,CORK-L3,B476425,640,0.9687,14,6,6,0.9766,0.00143,B
2024-01-09,CORK-L1,B476425,967,0.976,15,8,8,0.9785,0.00032,A
2024-01-10,CORK-L3,B476425,2987,0.9684,60,34,38,0.9662,0.00066,B
2024-01-10,CORK-L1,B476425,2729,0.9755,44,23,28,0.9772,0.0009,A
2024-01-05,CORK-L3,B563411,2358,0.969,49,24,27,0.9639,0.00104,B
2024-01-06,CORK-L3,B563411,3069,0.9667,62,40,15,0.9683,0.00042,B
2024-01-07,CORK-L3,B563411,460,0.9672,10,5,6,0.9675,0.00105,B
2024-01-08,CORK-L1,B221014,1217,0.9758,20,9,5,0.9724,0.00223,A
2024-01-08,CORK-L2,B221014,1549,0.9732,28,14,9,0.9729,0.00175,A
2024-01-09,CORK-L1,B221014,2887,0.9727,46,33,25,0.9748,0.00277,A
2024-01-09,CORK-L2,B221014,1921,0.97,38,20,14,0.979,0.00058,B
2024-01-10,CORK-L1,B221014,3042,0.9739,47,32,20,0.9741,0.00099,A
2024-01-10,CORK-L2,B221014,2474,0.9748,39,23,18,0.9709,0.0,A
2024-01-09,CORK-L1,B434266,6291,0.9722,111,64,71,0.9795,0.00134,A
2024-01-10,CORK-L1,B434266,901,0.9714,18,8,4,0.9692,0.0,A
2024-01-11,CORK-L1,B434266,963,0.9723,17,10,5,0.983,0.00052,A
2024-01-12,CORK-L1,B434266,416,0.9678,8,5,2,0.9691,0.001,B
2024-01-13,CORK-L1,B434266,1042,0.9712,20,10,12,0.9797,0.00147,A
2024-01-14,CORK-L1,B434266,1207,0.9703,21,15,9,0.9789,0.00303,A
2024-01-15,CORK-L1,B434266,2557,0.9655,60,28,31,0.9549,0.00052,B
2024-01-16,CORK-L1,B434266,5567,0.9662,121,67,69,0.9627,0.00219,B
2024-01-17,CORK-L1,B434266,761,0.9714,13,9,4,0.973,0.00162,A
2024-01-18,CORK-L1,B434266,1158,0.9661,24,15,9,0.9567,0.00266,B
2024-01-19,CORK-L1,B434266,1149,0.9708,24,10,5,0.9791,0.0014,A
2024-01-20,CORK-L1,B434266,1266,0.9714,22,14,8,0.9694,0.00057,A
